Medicao,Dia,Consumo_kWh,Mes,Tipo,MesOrdem
Consumo ativo Fora de Ponta,2025-02-22,42530.856150370455,Fev,Ajustado (delta),3
Consumo ativo Fora de Ponta,2025-02-23,39363.48328243507,Fev,Ajustado (delta),3
Consumo ativo Fora de Ponta,2025-02-24,36117.37802751571,Fev,Ajustado (delta),3
Consumo ativo de Ponta,2025-02-24,5574.013639294598,Fev,Ajustado (delta),3
Consumo ativo Fora de Ponta,2025-02-25,35738.172278260216,Fev,Ajustado (delta),3
Consumo ativo de Ponta,2025-02-25,5500.020412304668,Fev,Ajustado (delta),3
Consumo ativo Fora de Ponta,2025-02-26,35614.361265782776,Fev,Ajustado (delta),3
Consumo ativo de Ponta,2025-02-26,5631.261030702596,Fev,Ajustado (delta),3
Consumo ativo Fora de Ponta,2025-02-27,36269.00164515748,Fev,Ajustado (delta),3
Consumo ativo de Ponta,2025-02-27,5681.238912090532,Fev,Ajustado (delta),3
Consumo ativo Fora de Ponta,2025-02-28,36239.39757108589,Fev,Ajustado (delta),3
Consumo ativo de Ponta,2025-02-28,5671.892399207593,Fev,Ajustado (delta),3
Consumo ativo Fora de Ponta,2025-03-01,40632.61735802754,Mar,Ajustado (delta),4
Consumo ativo Fora de Ponta,2025-03-02,37503.86671525077,Mar,Ajustado (delta),4
Consumo ativo Fora de Ponta,2025-03-03,27950.855559688556,Mar,Ajustado (delta),4
Consumo ativo de Ponta,2025-03-03,4207.345755522691,Mar,Ajustado (delta),4
Consumo ativo Fora de Ponta,2025-03-04,30280.521554850824,Mar,Ajustado (delta),4
Consumo ativo Fora de Ponta,2025-03-05,30692.1120253349,Mar,Ajustado (delta),4
Consumo ativo de Ponta,2025-03-05,5561.291996759487,Mar,Ajustado (delta),4
Consumo ativo Fora de Ponta,2025-03-06,34717.228457369696,Mar,Ajustado (delta),4
Consumo ativo de Ponta,2025-03-06,5518.973063428404,Mar,Ajustado (delta),4
Consumo ativo Fora de Ponta,2025-03-07,32519.278684290228,Mar,Ajustado (delta),4
Consumo ativo de Ponta,2025-03-07,5462.764173451843,Mar,Ajustado (delta),4
Consumo ativo Fora de Ponta,2025-03-08,40438.58632565469,Mar,Ajustado (delta),4
Consumo ativo Fora de Ponta,2025-03-09,38762.88531310064,Mar,Ajustado (delta),4
Consumo ativo Fora de Ponta,2025-03-10,33978.84003726068,Mar,Ajustado (delta),4
Consumo ativo de Ponta,2025-03-10,4935.985404127435,Mar,Ajustado (delta),4
Consumo ativo Fora de Ponta,2025-03-11,34264.48597279608,Mar,Ajustado (delta),4
Consumo ativo de Ponta,2025-03-11,5478.731132960196,Mar,Ajustado (delta),4
Consumo ativo Fora de Ponta,2025-03-12,32022.27047884819,Mar,Ajustado (delta),4
Consumo ativo de Ponta,2025-03-12,5504.823481425066,Mar,Ajustado (delta),4
Consumo ativo Fora de Ponta,2025-03-13,37398.11354477315,Mar,Ajustado (delta),4
Consumo ativo de Ponta,2025-03-13,5718.884588980146,Mar,Ajustado (delta),4
Consumo ativo Fora de Ponta,2025-03-14,36816.61778820927,Mar,Ajustado (delta),4
Consumo ativo de Ponta,2025-03-14,5952.4620533071975,Mar,Ajustado (delta),4
Consumo ativo Fora de Ponta,2025-03-15,41615.97146270536,Mar,Ajustado (delta),4
Consumo ativo Fora de Ponta,2025-03-16,39384.39098334876,Mar,Ajustado (delta),4
Consumo ativo Fora de Ponta,2025-03-17,34380.48621644074,Mar,Ajustado (delta),4
Consumo ativo de Ponta,2025-03-17,5083.0631693547875,Mar,Ajustado (delta),4
Consumo ativo Fora de Ponta,2025-03-18,33250.55686621019,Mar,Ajustado (delta),4
Consumo ativo de Ponta,2025-03-18,6036.6649452277325,Mar,Ajustado (delta),4
Consumo ativo Fora de Ponta,2025-03-19,34198.88471144446,Mar,Ajustado (delta),4
Consumo ativo de Ponta,2025-03-19,5695.25868141494,Mar,Ajustado (delta),4
Consumo ativo Fora de Ponta,2025-03-20,35290.36155023277,Mar,Ajustado (delta),4
Consumo ativo de Ponta,2025-03-20,5527.540700237764,Mar,Ajustado (delta),4
Consumo ativo Fora de Ponta,2025-03-21,34223.57464574282,Mar,Ajustado (delta),4
Consumo ativo de Ponta,2025-03-21,6389.880196784979,Mar,Ajustado (delta),4
Consumo ativo Fora de Ponta,2025-03-22,42820.149121937764,Mar,Ajustado (delta),4
Consumo ativo Fora de Ponta,2025-03-23,42633.07584611942,Mar,Ajustado (delta),4
Consumo ativo Fora de Ponta,2025-03-24,36455.922009514325,Mar,Ajustado (delta),4
Consumo ativo de Ponta,2025-03-24,5665.661390618968,Mar,Ajustado (delta),4
Consumo ativo Fora de Ponta,2025-03-25,39488.182349638555,Mar,Ajustado (delta),4
Consumo ativo de Ponta,2025-03-25,6133.82993887966,Mar,Ajustado (delta),4
Consumo ativo Fora de Ponta,2025-03-26,39758.822687002794,Mar,Ajustado (delta),4
Consumo ativo de Ponta,2025-03-26,6403.8640950142735,Mar,Ajustado (delta),4
Consumo ativo Fora de Ponta,2025-03-27,40690.15674357761,Mar,Ajustado (delta),4
Consumo ativo de Ponta,2025-03-27,7093.999937862772,Mar,Ajustado (delta),4
Consumo ativo Fora de Ponta,2025-03-28,38506.33608393119,Mar,Ajustado (delta),4
Consumo ativo de Ponta,2025-03-28,6427.3113617882955,Mar,Ajustado (delta),4
Consumo ativo Fora de Ponta,2025-03-29,44154.351476796895,Mar,Ajustado (delta),4
Consumo ativo Fora de Ponta,2025-03-30,41806.52392752123,Mar,Ajustado (delta),4
Consumo ativo Fora de Ponta,2025-03-31,35103.533424838446,Mar,Ajustado (delta),4
Consumo ativo de Ponta,2025-03-31,5415.1229202846425,Mar,Ajustado (delta),4
Consumo ativo Fora de Ponta,2025-04-01,35996.69300216577,Abr,Ajustado (delta),5
Consumo ativo de Ponta,2025-04-01,5701.7036256437605,Abr,Ajustado (delta),5
Consumo ativo Fora de Ponta,2025-04-02,35325.51673215267,Abr,Ajustado (delta),5
Consumo ativo de Ponta,2025-04-02,5460.816983267898,Abr,Ajustado (delta),5
Consumo ativo Fora de Ponta,2025-04-03,36014.4245945658,Abr,Ajustado (delta),5
Consumo ativo de Ponta,2025-04-03,5753.702423244436,Abr,Ajustado (delta),5
Consumo ativo Fora de Ponta,2025-04-04,35889.94654488511,Abr,Ajustado (delta),5
Consumo ativo de Ponta,2025-04-04,6240.034403860011,Abr,Ajustado (delta),5
Consumo ativo Fora de Ponta,2025-04-05,41951.80370390389,Abr,Ajustado (delta),5
Consumo ativo Fora de Ponta,2025-04-06,39466.92932958442,Abr,Ajustado (delta),5
Consumo ativo Fora de Ponta,2025-04-07,35767.08508252794,Abr,Ajustado (delta),5
Consumo ativo de Ponta,2025-04-07,5619.318264241064,Abr,Ajustado (delta),5
Consumo ativo Fora de Ponta,2025-04-08,35960.34601496968,Abr,Ajustado (delta),5
Consumo ativo de Ponta,2025-04-08,5628.794589802932,Abr,Ajustado (delta),5
Consumo ativo Fora de Ponta,2025-04-09,35559.95560436088,Abr,Ajustado (delta),5
Consumo ativo de Ponta,2025-04-09,6032.640752180912,Abr,Ajustado (delta),5
Consumo ativo Fora de Ponta,2025-04-10,36128.42577700367,Abr,Ajustado (delta),5
Consumo ativo de Ponta,2025-04-10,5712.913205749379,Abr,Ajustado (delta),5
Consumo ativo Fora de Ponta,2025-04-11,36044.201796674584,Abr,Ajustado (delta),5
